,June_S_1_S_12_so_R1,June_S_1_M_12_so_R1,June_S_1_D_12_so_R1,June_S_2_S_12_so_R2,June_S_2_S_12_so_R1,June_S_2_M_12_so_R1,June_S_2_D_12_so_R1,June_S_3_S_12_so_R1,June_S_3_M_12_so_R1,June_S_3_D_12_so_R1,July_S_1_S_12_so_R1,July_S_1_M_12_so_R1,July_S_1_D_12_so_R1,July_S_2_S_12_so_R1,July_S_2_M_12_so_R2,July_S_2_M_12_so_R1,July_S_2_D_12_so_R1,July_S_3_S_12_so_R1,July_S_3_M_12_so_R1,Aug_S_1_S_12_so_R2,Aug_S_1_S_12_so_R1,Aug_S_1_M_12_so_R1,Aug_S_1_D_12_so_R1,Aug_S_2_M_12_so_R1,Aug_S_2_D_12_so_R2,Aug_S_2_D_12_so_R1,Aug_S_3_S_12_so_R1
677.2154775,5.98064706839087,5.98064706839087,5.98064706839087,5.98064706839087,5.98064706839087,5.98064706839087,5.98064706839087,5.98064706839087,NA,5.98064706839087,5.98064706839087,5.98064706839087,5.98064706839087,5.98064706839087,5.98064706839087,5.98064706839087,5.98064706839087,5.98064706839087,5.98064706839087,5.98064706839087,5.98064706839087,5.98064706839087,NA,NA,5.98064706839087,NA,NA
681.2103842,7.36233005034808,7.36233005034808,7.36233005034808,7.36233005034808,7.36233005034808,7.36233005034808,7.36233005034808,7.36233005034808,NA,7.36233005034808,7.36233005034808,7.36233005034808,7.36233005034808,7.36233005034808,7.36233005034808,7.36233005034808,7.36233005034808,7.36233005034808,7.36233005034808,7.36233005034808,7.36233005034808,7.36233005034808,7.36233005034808,NA,NA,NA,7.36233005034808
659.2048427,4.0078422545587,NA,4.0078422545587,4.0078422545587,4.0078422545587,4.0078422545587,4.0078422545587,4.0078422545587,NA,4.0078422545587,4.0078422545587,NA,4.0078422545587,4.0078422545587,4.0078422545587,4.0078422545587,4.0078422545587,4.0078422545587,NA,NA,NA,4.0078422545587,NA,NA,NA,NA,NA
691.2674476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63734473115919,NA,NA,1.63734473115919,NA,NA,NA,1.63734473115919,NA,1.63734473115919,1.63734473115919,NA,NA,NA,NA,NA,NA
673.2206247,NA,NA,NA,2.13313069497346,NA,2.13313069497346,2.13313069497346,2.13313069497346,NA,2.13313069497346,NA,NA,2.13313069497346,NA,NA,NA,NA,NA,NA,NA,NA,2.13313069497346,NA,NA,NA,NA,NA
709.241911,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.19388563001734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
682.3005203,NA,NA,NA,NA,NA,NA,NA,NA,8.18285466478524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
524.1913033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.68916460049326
472.1022745,5.5437663518096,5.5437663518096,5.5437663518096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
474.1178742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.94701822857211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
575.202405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.97740876229694,NA,NA,NA,NA,NA,NA,NA
603.233544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.40313837767943,NA,NA,NA,NA,NA,NA
610.1920659,NA,NA,NA,5.4885328464568,NA,NA,5.4885328464568,5.4885328464568,NA,5.4885328464568,5.4885328464568,5.4885328464568,NA,5.4885328464568,5.4885328464568,5.4885328464568,NA,5.4885328464568,NA,5.4885328464568,5.4885328464568,5.4885328464568,NA,NA,NA,NA,NA
590.1658177,4.07440050251112,4.07440050251112,4.07440050251112,4.07440050251112,4.07440050251112,4.07440050251112,4.07440050251112,4.07440050251112,NA,4.07440050251112,4.07440050251112,NA,NA,NA,NA,NA,4.07440050251112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
608.1763807,NA,NA,NA,4.7284494173525,4.7284494173525,NA,4.7284494173525,NA,NA,4.7284494173525,4.7284494173525,NA,NA,NA,4.7284494173525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
498.121297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.46374672142456,NA,NA,NA,NA,NA,NA,NA
598.2102419,NA,NA,NA,NA,NA,NA,NA,6.62569475035865,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.62569475035865,NA,NA,NA,6.62569475035865,NA,NA,NA,NA,NA
580.236169,NA,NA,NA,NA,NA,NA,7.29886504379923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
596.2308305,NA,NA,NA,NA,NA,NA,7.14526647912932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
398.2370899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4019148047147,NA,NA
334.965845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5647248997135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
378.9556745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.626057864169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
609.0502103,NA,9.96389505174333,NA,9.96389505174333,NA,9.96389505174333,9.96389505174333,NA,NA,9.96389505174333,9.96389505174333,NA,NA,NA,9.96389505174333,9.96389505174333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
577.04502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.33156194829595
507.0184146,9.61309037441146,9.61309037441146,9.61309037441146,9.61309037441146,9.61309037441146,9.61309037441146,9.61309037441146,9.61309037441146,NA,NA,9.61309037441146,9.61309037441146,9.61309037441146,9.61309037441146,9.61309037441146,9.61309037441146,NA,9.61309037441146,9.61309037441146,9.61309037441146,9.61309037441146,9.61309037441146,NA,NA,NA,NA,NA
537.0290598,NA,NA,NA,4.30558283880625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
493.0179614,NA,NA,NA,6.48031117252075,NA,NA,6.48031117252075,NA,NA,6.48031117252075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
537.0949765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.06472789870152,8.06472789870152,NA,NA,NA,NA,NA,NA
