num.trans.involved.in,sample,peak
20,Abisko,256.9967435
11,Abisko,257.006293
29,Abisko,257.008652
31,Abisko,257.0119935
9,Abisko,257.0233947
7,Abisko,257.0274115
106,Abisko,257.0297681
30,Abisko,257.0331351
59,Abisko,257.04098
121,Abisko,257.0450067
32,Abisko,257.0483878
2,Abisko,257.058524
122,Abisko,257.0661298
4,Abisko,257.067769
129,Abisko,257.0773825
110,Abisko,257.081395
14,Abisko,257.0872336
22,Abisko,257.0967145
125,Abisko,257.1025343
108,Abisko,257.1137512
74,Abisko,257.1177736
25,Abisko,257.1250098
130,Abisko,257.1389086
56,Abisko,257.1501636
85,Abisko,257.1753019
47,Abisko,257.2116724
1,Abisko,257.2366503
1,Abisko,257.239131
1,Abisko,257.560185
10,Abisko,258.0164819
51,Abisko,258.0331149
7,Abisko,258.0379142
61,Abisko,258.0402639
9,Abisko,258.0443
10,Abisko,258.051731
48,Abisko,258.0528348
5,Abisko,258.0558456
2,Abisko,258.059015
157,Abisko,258.0613946
2,Abisko,258.0648637
7,Abisko,258.066383
47,Abisko,258.0695225
60,Abisko,258.0726354
13,Abisko,258.0742865
73,Abisko,258.0766568
45,Abisko,258.0807294
15,Abisko,258.084791
148,Abisko,258.0977835
61,Abisko,258.1058906
70,Abisko,258.1090233
51,Abisko,258.11713
88,Abisko,258.1341494
57,Abisko,258.1422747
67,Abisko,258.1453978
44,Abisko,258.1786381
22,Abisko,258.215016
3,Abisko,258.907301
26,Abisko,258.9670879
19,Abisko,258.9767256
5,Abisko,258.98544
2,Abisko,258.994137
13,Abisko,259.003522
77,Abisko,259.0090146
21,Abisko,259.0123906
26,Abisko,259.0219258
52,Abisko,259.0242979
36,Abisko,259.0276579
2,Abisko,259.0389405
22,Abisko,259.039867
12,Abisko,259.0429976
116,Abisko,259.0454195
92,Abisko,259.0566349
131,Abisko,259.0606545
12,Abisko,259.062495
34,Abisko,259.071918
2,Abisko,259.073673
14,Abisko,259.0752525
123,Abisko,259.081779
123,Abisko,259.0930367
104,Abisko,259.0970515
42,Abisko,259.1011236
34,Abisko,259.1042479
22,Abisko,259.1082618
