,AI.mean,AI.median,AI.sd,AI_Mod.mean,AI_Mod.median,AI_Mod.sd,DBE.mean,DBE.median,DBE.sd,DBE_O.mean,DBE_O.median,DBE_O.sd,KenMass.mean,KenMass.median,KenMass.sd,KenDef.mean,KenDef.median,KenDef.sd,NOSC.mean,NOSC.median,NOSC.sd,Gibbs.mean,Gibbs.median,Gibbs.sd
July_P_3_M_12_so_R2,0.15963334823079,0,0.263473738980161,0.282086422316483,0.24,0.269765828383177,10.7522333158171,10,6.92448102305871,0.763794009458749,-1,9.52186524108737,409.440917197782,393.721511595966,121.485212869176,0.33494973201809,0.316335981563498,0.12007969645502,-0.193916481402229,-0.190476190476191,0.534482552369357,65.8266197199635,65.7285714285714,15.2327527425267
July_P_3_M_12_so_R1,0.158692486245403,0,0.263223861611288,0.277399131076026,0.225806451612903,0.272314717377619,10.7603462837838,10,6.95625010416087,0.625633445945946,-1,9.5398542325852,417.953912616461,400.66070247188,125.396362490592,0.344049435542282,0.323883858401189,0.123867368646127,-0.194823660813652,-0.190476190476191,0.550375913009376,65.8524743331891,65.7285714285714,15.6857135207672
July_S_1_S_12_so_R1,0.145935114912325,0,0.25249143260649,0.25400423432541,0.179487179487179,0.2614496170376,10.0939393939394,9,6.53930433213956,0.227272727272727,-2,9.07894927693879,408.459297002792,392.722631700991,116.097848447223,0.327310140064748,0.310544234480744,0.116318357231674,-0.259548523129339,-0.222222222222222,0.547065811169953,67.6971329091862,66.6333333333333,15.5913756183437
July_S_1_M_12_so_R1,0.139024361260268,0,0.248309990804545,0.252207469922986,0.181818181818182,0.259154737784739,9.96045340050378,9,6.25794436998866,0.0783375314861461,-2,8.62693025717867,394.172648238906,380.63865885635,108.865207616701,0.3148325991111,0.30137169521214,0.106605483072215,-0.216921314897184,-0.153846153846154,0.537689917855365,66.4822574745697,64.6846153846154,15.3241626588779
July_S_1_D_12_so_R1,0.133031190331437,0,0.234283994502545,0.24229728199474,0.179487179487179,0.248756659325528,9.66158798283262,9,6.12852231768766,0.251287553648069,-1,8.16631860830972,403.571645548939,394.641633131535,108.059668482379,0.310305670572976,0.299615130229483,0.107537217454747,-0.280902016893329,-0.226495726495727,0.552520872933876,68.3057074814599,66.7551282051282,15.7468448786155
July_S_2_S_12_so_R1,0.125746386296349,0,0.233996574730688,0.232343873644282,0.153846153846154,0.249750853284127,9.78032345013477,9,6.28760398716309,-0.320417789757412,-2,8.5552937484928,419.109565091564,402.669176434914,121.09224776412,0.330509119938415,0.31635331219033,0.116093451417777,-0.286719094858526,-0.230769230769231,0.557631762801356,68.471494203468,66.8769230769231,15.8925052398386
July_S_2_M_12_so_R2,0.141411462344599,0,0.249044922877196,0.247243170019353,0.172413793103448,0.261238004773375,9.9014014014014,9,6.44393703606928,0.0665665665665666,-1.5,8.90740344193747,397.185768180819,384.589823718486,110.676923058537,0.313882900828387,0.299341621687176,0.10890362819138,-0.217198031543703,-0.166666666666667,0.521991915898426,66.4901438989955,65.05,14.8767696031052
July_S_2_M_12_so_R1,0.148725791119116,0,0.257609382187537,0.258199592311039,0.190982776089159,0.266134661144666,10.0071428571429,9,6.48061545097197,0.315714285714286,-1,9.02026870377821,390.179011350444,376.771308102015,107.944829477052,0.307687408106956,0.295115702803685,0.106223316691729,-0.199856608539926,-0.153846153846154,0.522970397985814,65.9959133433879,64.6846153846154,14.9046563425957
July_S_2_D_12_so_R1,0.147991775791484,0,0.249206681526632,0.260772781813668,0.2,0.257371585615187,9.95431789737171,9,6.40750700568246,0.638297872340426,-1,8.78052636163455,389.448491652158,378.748413280868,105.177671065998,0.30077871133362,0.287730672498299,0.10369986313483,-0.239952606854764,-0.190476190476191,0.53166510041381,67.1386492953608,65.7285714285714,15.1524553617936
July_S_3_S_12_so_R1,0.146725404110313,0,0.254667468873337,0.250140749499357,0.170731707317073,0.260951718973404,10.0162803532009,9,6.66643395308091,0.460540838852097,-2,9.44648178105187,394.705657026032,380.704388280244,109.94916479215,0.305675132114785,0.293465932725212,0.10414758316117,-0.248088396938518,-0.210526315789473,0.521749463865775,67.3705193127478,66.3,14.8698597201746
