Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,AI,AI_Mod,DBE,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class
651.1936907,30,36,16,0,0,0,0,0,CHO,NA,652.2010207,0.969049896,NA,C30H36O16,0,0.227272727272727,13,-3,-3,64.1,650.46656200747,0.533437992529798,-0.133333333333334,0.533333333333333,1.2,0,0,NA,Lignin,Lignin,Other
651.1948253,0,0,0,0,0,0,0,0,,NA,652.2021553,0,NA,NA,NA,NA,NA,NA,NA,NA,650.467695340566,0.532304659434203,NA,NA,NA,NA,NA,NA,NA,NA,NA
651.1996731,0,0,0,0,0,0,0,0,,NA,652.2070031,0,NA,NA,NA,NA,NA,NA,NA,NA,650.472537727469,0.527462272531011,NA,NA,NA,NA,NA,NA,NA,NA,NA
651.214903,23,43,18,1,0,0,1,0,CHNOP,NA,652.222233,0.619229555,NA,C23H43O18NP,0,0,3.5,-14.5,-16.5,71.4521739130435,650.487750621627,0.51224937837344,-0.391304347826087,0.782608695652174,1.8695652173913,0.0434782608695652,0.0434782608695652,1,Carbohydrate,Carbohydrate,Other
651.2301937,27,43,15,1,0,0,1,0,CHNOP,NA,652.2375237,0.672160036,NA,C27H43O15NP,0,0,7.5,-7.5,-9.5,76.1333333333333,650.503024247894,0.496975752105755,-0.555555555555555,0.555555555555556,1.59259259259259,0.037037037037037,0.037037037037037,1,Amino Sugar,Amino Sugar,Lipid
651.231581,0,0,0,0,0,0,0,0,,NA,652.238911,0,NA,NA,NA,NA,NA,NA,NA,NA,650.504409998823,0.495590001177334,NA,NA,NA,NA,NA,NA,NA,NA,NA
651.2359684,24,44,20,0,0,0,0,0,CHO,NA,652.2432984,0.998144828,NA,C24H44O20,0,0,3,-17,-17,65.05,650.508792499813,0.491207500187329,-0.166666666666667,0.833333333333333,1.83333333333333,0,0,NA,Carbohydrate,Carbohydrate,Carbohydrate
651.25146,24,47,17,1,0,0,1,0,CHNOP,NA,652.25879,0.882118514,NA,C24H47O17NP,0,0,2.5,-14.5,-16.5,78.1125,650.524266801754,0.475733198246303,-0.625,0.708333333333333,1.95833333333333,0.0416666666666667,0.0416666666666667,1,Carbohydrate,Carbohydrate,Other
651.2665128,28,47,14,1,0,0,1,0,CHNOP,NA,652.2738428,0.57030532,NA,C28H47O14NP,0,0,6.5,-7.5,-9.5,81.675,650.539302793663,0.460697206337272,-0.75,0.5,1.67857142857143,0.0357142857142857,0.0357142857142857,1,Protein,Protein,Lipid
651.28798,0,0,0,0,0,0,0,0,,NA,652.29531,0,NA,NA,NA,NA,NA,NA,NA,NA,650.560746023195,0.439253976804594,NA,NA,NA,NA,NA,NA,NA,NA,NA
651.3028974,0,0,0,0,0,0,0,0,,NA,652.3102274,0,NA,NA,NA,NA,NA,NA,NA,NA,650.575646766293,0.424353233706597,NA,NA,NA,NA,NA,NA,NA,NA,NA
651.3240775,26,55,15,1,0,0,1,0,CHNOP,NA,652.3314075,0.646691701,NA,C26H55O15NP,0,0,0.5,-14.5,-16.5,89.8961538461538,650.596803216405,0.40319678359549,-1.03846153846154,0.576923076923077,2.11538461538462,0.0384615384615385,0.0384615384615385,1,Other,Amino Sugar,Lipid
651.3391613,34,52,12,0,0,0,0,0,CHO,NA,652.3464913,0.85944796,NA,C34H52O12,0,0.107142857142857,9,-3,-3,83.7705882352941,650.611870173699,0.388129826301338,-0.823529411764706,0.352941176470588,1.52941176470588,0,0,NA,Protein,Protein,Other
651.375514,35,56,11,0,0,0,0,0,CHO,NA,652.382844,0.809062463,NA,C35H56O11,0,0.0847457627118644,8,-3,-3,87.9857142857143,650.648182281949,0.351817718050938,-0.971428571428572,0.314285714285714,1.6,0,0,NA,Protein,Protein,Other
651.4117815,36,60,10,0,0,0,0,0,CHO,NA,652.4191115,0.628142683,NA,C36H60O10,0,0.0645161290322581,7,-3,-3,91.9666666666667,650.684409285334,0.315590714665518,-1.11111111111111,0.277777777777778,1.66666666666667,0,0,NA,Lipid,Lipid,Other
652.124317,0,0,0,0,0,0,0,0,,NA,653.131647,0,NA,NA,NA,NA,NA,NA,NA,NA,651.39614916183,0.60385083817016,NA,NA,NA,NA,NA,NA,NA,NA,NA
652.149255,0,0,0,0,0,0,0,0,,NA,653.156585,0,NA,NA,NA,NA,NA,NA,NA,NA,651.421059315836,0.57894068416374,NA,NA,NA,NA,NA,NA,NA,NA,NA
652.1787342,0,0,0,0,0,0,0,0,,NA,653.1860642,0,NA,NA,NA,NA,NA,NA,NA,NA,651.450505599098,0.549494400901835,NA,NA,NA,NA,NA,NA,NA,NA,NA
652.1969477,0,0,0,0,0,0,0,0,,NA,653.2042777,0,NA,NA,NA,NA,NA,NA,NA,NA,651.468698761741,0.53130123825872,NA,NA,NA,NA,NA,NA,NA,NA,NA
652.2029975,33,35,13,1,0,0,0,0,CHNO,NA,653.2103275,-0.866885491,NA,C33H35O13N,0.157894736842105,0.372549019607843,17,4,3,65.4818181818182,651.474741806481,0.525258193519335,-0.181818181818182,0.393939393939394,1.06060606060606,0.0303030303030303,0,NA,Lignin,Lignin,Other
652.273165,0,0,0,0,0,0,0,0,,NA,653.280495,0,NA,NA,NA,NA,NA,NA,NA,NA,651.544830956823,0.455169043176852,NA,NA,NA,NA,NA,NA,NA,NA,NA
652.415524,46,55,2,1,0,0,0,0,CHNO,NA,653.422854,-0.733914776,NA,C46H55O2N,0.395348837209302,0.409090909090909,20,18,17,90.0391304347826,651.687030997492,0.312969002507884,-1.04347826086957,0.0434782608695652,1.19565217391304,0.0217391304347826,0,NA,Other,Unsat Hydrocarbon,Other
652.6800811,0,0,0,0,0,0,0,0,,NA,653.6874111,0,NA,NA,NA,NA,NA,NA,NA,NA,651.951292690671,0.0487073093291883,NA,NA,NA,NA,NA,NA,NA,NA,NA
652.6984024,0,0,0,0,0,0,0,0,,NA,653.7057324,0,NA,NA,NA,NA,NA,NA,NA,NA,651.969593532943,0.0304064670565367,NA,NA,NA,NA,NA,NA,NA,NA,NA
652.86842,0,0,0,0,0,0,0,0,,NA,653.87575,0,NA,NA,NA,NA,NA,NA,NA,NA,652.139421289772,0.860578710227514,NA,NA,NA,NA,NA,NA,NA,NA,NA
653.0792073,26,25,17,1,0,0,1,0,CHNOP,NA,654.0865373,0.723640305,NA,C26H25O17NP,0,0.32258064516129,15.5,-1.5,-3.5,52.6269230769231,652.34997322279,0.650026777209746,0.269230769230769,0.653846153846154,0.961538461538462,0.0384615384615385,0.0384615384615385,1,Tannin,Tannin,Phytochemical
