,RCBC,site1,site2
482,1,10,28
483,1,10,29
484,1,10,30
485,1,10,31
486,-1,10,32
487,-1,10,33
488,-1,10,34
489,-1,10,35
490,-1,10,36
491,-1,10,37
492,-1,10,38
493,1,10,39
494,1,10,40
495,1,10,41
496,1,10,42
497,1,10,43
498,1,10,44
499,1,10,45
500,1,10,46
501,1,10,47
502,1,10,48
503,1,10,49
504,1,10,50
505,0.96,10,51
506,1,10,52
507,1,10,53
508,-1,10,54
509,-1,10,55
510,-1,10,56
511,-1,10,57
512,-1,10,58
513,-1,10,59
514,1,10,60
515,1,10,61
516,1,10,62
517,1,10,63
518,1,10,64
519,1,10,65
520,1,10,66
521,1,10,67
522,-1,11,12
523,-1,11,13
524,-1,11,14
525,-1,11,15
526,1,11,16
527,1,11,17
528,1,11,18
529,1,11,19
530,1,11,20
531,1,11,21
532,1,11,22
533,1,11,23
534,1,11,24
535,1,11,25
536,0.73,11,26
537,1,11,27
538,1,11,28
539,1,11,29
540,1,11,30
541,1,11,31
542,-1,11,32
543,-1,11,33
544,-1,11,34
545,-1,11,35
546,-1,11,36
547,-1,11,37
548,-0.99,11,38
549,1,11,39
550,1,11,40
551,0.99,11,41
552,1,11,42
553,1,11,43
554,1,11,44
555,1,11,45
556,1,11,46
557,1,11,47
558,1,11,48
559,1,11,49
560,1,11,50
561,0.94,11,51
562,1,11,52
563,1,11,53
564,-1,11,54
565,-1,11,55
566,-1,11,56
567,-1,11,57
568,-1,11,58
569,-1,11,59
570,1,11,60
571,1,11,61
572,-1,11,62
573,1,11,63
574,1,11,64
575,1,11,65
576,1,11,66
577,1,11,67
578,0.95,12,13
579,-1,12,14
580,-1,12,15
581,1,12,16
582,-0.8,12,17
583,1,12,18
584,1,12,19
585,-0.96,12,20
586,1,12,21
587,1,12,22
588,0.41,12,23
589,1,12,24
590,1,12,25
591,-0.29,12,26
592,1,12,27
593,1,12,28
594,1,12,29
595,1,12,30
596,1,12,31
597,-1,12,32
598,-1,12,33
599,-1,12,34
600,-0.96,12,35
601,-1,12,36
602,-1,12,37
603,1,12,38
604,0.97,12,39
605,0.12,12,40
606,-1,12,41
607,0.99,12,42
608,0.93,12,43
609,1,12,44
610,1,12,45
611,1,12,46
612,1,12,47
613,1,12,48
614,1,12,49
615,1,12,50
616,0.93,12,51
617,0.97,12,52
618,1,12,53
619,-1,12,54
620,-1,12,55
621,-1,12,56
622,-1,12,57
623,-1,12,58
624,0.92,12,59
625,1,12,60
626,0.99,12,61
627,-1,12,62
628,0.54,12,63
629,-0.86,12,64
630,1,12,65
631,1,12,66
632,1,12,67
633,-1,13,14
634,-0.85,13,15
635,1,13,16
636,1,13,17
637,1,13,18
638,1,13,19
639,1,13,20
640,1,13,21
641,1,13,22
642,1,13,23
643,0.99,13,24
644,1,13,25
645,1,13,26
646,0.89,13,27
647,0.99,13,28
648,0.99,13,29
649,1,13,30
650,1,13,31
651,-1,13,32
652,-1,13,33
653,-1,13,34
654,-1,13,35
655,-1,13,36
656,-0.95,13,37
657,-1,13,38
658,1,13,39
659,1,13,40
660,1,13,41
661,1,13,42
662,1,13,43
663,1,13,44
664,1,13,45
665,1,13,46
666,0.88,13,47
667,1,13,48
668,1,13,49
669,0.99,13,50
670,0.87,13,51
671,1,13,52
672,0.99,13,53
673,-1,13,54
674,-0.85,13,55
675,0.97,13,56
676,0.87,13,57
677,-0.96,13,58
678,-1,13,59
679,1,13,60
680,1,13,61
681,1,13,62
682,1,13,63
683,1,13,64
684,1,13,65
685,1,13,66
686,1,13,67
687,-1,14,15
688,1,14,16
689,1,14,17
690,1,14,18
691,1,14,19
692,0.98,14,20
693,1,14,21
694,1,14,22
695,1,14,23
696,1,14,24
697,1,14,25
698,-0.69,14,26
699,1,14,27
700,1,14,28
701,0.84,14,29
702,1,14,30
703,1,14,31
704,-1,14,32
705,-1,14,33
706,-1,14,34
707,-1,14,35
708,-1,14,36
709,-1,14,37
710,-0.91,14,38
711,1,14,39
712,1,14,40
713,0.98,14,41
714,1,14,42
715,1,14,43
716,1,14,44
717,1,14,45
718,1,14,46
719,1,14,47
720,1,14,48
721,0.98,14,49
722,1,14,50
723,0.11,14,51
724,0.4,14,52
725,1,14,53
726,-1,14,54
727,-1,14,55
728,-1,14,56
729,-1,14,57
730,-1,14,58
731,-1,14,59
732,1,14,60
733,1,14,61
734,-1,14,62
735,1,14,63
736,1,14,64
737,1,14,65
738,1,14,66
739,1,14,67
740,1,15,16
741,0.74,15,17
742,1,15,18
743,1,15,19
744,0.54,15,20
745,1,15,21
746,1,15,22
747,1,15,23
748,1,15,24
749,1,15,25
750,-0.81,15,26
751,1,15,27
752,1,15,28
753,0.98,15,29
754,1,15,30
755,1,15,31
756,-1,15,32
757,-1,15,33
758,-1,15,34
759,-1,15,35
760,-1,15,36
761,-1,15,37
762,0.23,15,38
763,1,15,39
764,0.99,15,40
765,0.37,15,41
766,1,15,42
767,1,15,43
768,1,15,44
769,1,15,45
770,1,15,46
771,1,15,47
772,1,15,48
773,1,15,49
774,1,15,50
775,0.33,15,51
776,0.64,15,52
777,1,15,53
778,-1,15,54
779,-1,15,55
780,-1,15,56
781,-1,15,57
782,-1,15,58
783,-0.51,15,59
784,1,15,60
785,1,15,61
786,-1,15,62
787,1,15,63
788,0.71,15,64
789,1,15,65
790,1,15,66
791,1,15,67
792,-1,16,17
793,-1,16,18
794,-1,16,19
795,-1,16,20
796,-1,16,21
797,-1,16,22
798,-1,16,23
799,1,16,24
800,1,16,25
801,1,16,26
802,1,16,27
803,1,16,28
804,1,16,29
805,1,16,30
806,1,16,31
807,1,16,32
808,1,16,33
809,1,16,34
810,1,16,35
811,1,16,36
812,1,16,37
813,1,16,38
814,-1,16,39
815,-1,16,40
816,-1,16,41
817,-1,16,42
818,-1,16,43
819,-1,16,44
820,-1,16,45
821,-1,16,46
