Member,Value,Direction,Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,AI,AI_Mod,DBE,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class
821.220848,7.404375572,Sig. High,821.220848,30,46,26,0,0,0,0,0,CHO,NA,822.228178,0.477736258,NA,C30H46O26,0,0,8,-18,-18,54.6,820.3038655,0.696134535,0.2,0.866666667,1.533333333,0,0,NA,Carbohydrate,Carbohydrate,Other
562.072184,8.482058302,Sig. High,562.072184,17,25,18,1,0,1,0,0,CHNOS,NA,563.079514,0.403941376,NA,C17H25O18NS,0,0,6,-12,-14,33.47647059,561.4445692,0.555430822,0.941176471,1.058823529,1.470588235,0.058823529,0,NA,Other,Tannin,Other
700.160861,7.711097162,Sig. High,700.160861,22,39,22,1,0,1,0,0,CHNOS,NA,701.168191,-0.434253714,NA,C22H39O22NS,0,0,4,-18,-20,47.34545455,699.3790551,0.620944872,0.454545455,1,1.772727273,0.045454545,0,NA,Carbohydrate,Carbohydrate,Other
644.1708335,6.298594029,Sig. High,644.1708335,20,39,20,1,0,1,0,0,CHNOS,NA,645.1781635,-0.779227628,NA,C20H39O20NS,0,0,2,-18,-20,51.75,643.4515466,0.548453407,0.3,1,1.95,0.05,0,NA,Carbohydrate,Carbohydrate,Other
660.1657647,8.881539434,Sig. High,660.1657647,20,39,21,1,0,1,0,0,CHNOS,NA,661.1730947,-0.7353536,NA,C20H39O21NS,0,0,2,-19,-21,48.9,659.4286177,0.571382291,0.4,1.05,1.95,0.05,0,NA,Other,Carbohydrate,Other
658.1688324,6.253231351,Sig. High,658.1688324,20,37,23,1,0,0,0,0,CHNO,NA,659.1761624,0.716587468,NA,C20H37O23N,0,0,3,-20,-21,43.2,657.4339152,0.566084798,0.6,1.15,1.85,0.05,0,NA,Other,Carbohydrate,Other
659.142423,5.819954463,Sig. High,659.142423,22,32,21,2,0,0,0,0,CHNO,NA,660.149753,-0.237664255,NA,C22H32O21N2,0,0,8,-13,-15,39.57272727,658.4064187,0.593581318,0.727272727,0.954545455,1.454545455,0.090909091,0,NA,Other,Tannin,Other
547.0899401,5.006788555,Sig. High,547.0899401,16,24,19,2,0,0,0,0,CHNO,NA,548.0972701,-0.200804969,NA,C16H24O19N2,0,0,6,-13,-15,24.675,546.4790546,0.520945415,1.25,1.1875,1.5,0.125,0,NA,Other,Carbohydrate,Other
647.2000615,6.243652077,Sig. High,647.2000615,19,40,22,2,0,0,0,0,CHNO,NA,648.2073915,0.10330731,NA,C19H40O22N2,0,0,1,-21,-23,45.3,646.4773921,0.52260787,0.526315789,1.157894737,2.105263158,0.105263158,0,NA,Other,Carbohydrate,Other
677.210301,5.998678836,Sig. High,677.210301,20,42,23,2,0,0,0,0,CHNO,NA,678.217631,-0.380715437,NA,C20H42O23N2,0,0,1,-22,-24,46.05,676.4541219,0.545878072,0.5,1.15,2.1,0.1,0,NA,Other,Carbohydrate,Other
613.157642,5.078993787,Sig. High,613.157642,18,34,21,2,0,0,0,0,CHNO,NA,614.164972,-0.79409878,NA,C18H34O21N2,0,0,3,-18,-20,38.13333333,612.4729847,0.527015301,0.777777778,1.166666667,1.888888889,0.111111111,0,NA,Other,Carbohydrate,Other
641.152636,5.212898756,Sig. High,641.152636,19,34,22,2,0,0,0,0,CHNO,NA,642.159966,-0.635869247,NA,C19H34O22N2,0,0,4,-18,-20,36.3,640.4367192,0.563280761,0.842105263,1.157894737,1.789473684,0.105263158,0,NA,Other,Carbohydrate,Other
673.179228,5.113390435,Sig. High,673.179228,20,38,23,2,0,0,0,0,CHNO,NA,674.186558,-0.046100001,NA,C20H38O23N2,0,0,3,-20,-22,40.35,672.4275501,0.57244994,0.7,1.15,1.9,0.1,0,NA,Other,Carbohydrate,Other
657.183969,5.072166368,Sig. High,657.183969,20,38,22,2,0,0,0,0,CHNO,NA,658.191299,-0.570438741,NA,C20H38O22N2,0,0,3,-19,-21,43.2,656.4501515,0.549848491,0.6,1.1,1.9,0.1,0,NA,Other,Carbohydrate,Other
596.131343,4.257275528,Sig. High,596.131343,18,31,21,1,0,0,0,0,CHNO,NA,597.138673,-0.397909125,NA,C18H31O21N,0,0,4,-17,-18,38.13333333,595.4656974,0.534302583,0.777777778,1.166666667,1.722222222,0.055555556,0,NA,Other,Carbohydrate,Other
731.1843443,4.66904857,Sig. High,731.1843443,22,40,25,2,0,0,0,0,CHNO,NA,732.1916743,-0.538184873,NA,C22H40O25N2,0,0,4,-21,-23,39.57272727,730.3678973,0.632102671,0.727272727,1.136363636,1.818181818,0.090909091,0,NA,Other,Carbohydrate,Other
773.194954,7.20333336,Sig. High,773.194954,24,42,26,2,0,0,0,0,CHNO,NA,774.202284,-0.45088199,NA,C24H42O26N2,0,0,5,-21,-23,41.3,772.3315976,0.668402393,0.666666667,1.083333333,1.75,0.083333333,0,NA,Other,Carbohydrate,Other
755.2109069,6.273344525,Sig. High,755.2109069,26,44,25,0,0,0,0,0,CHO,NA,756.2182369,0.872977625,NA,C26H44O25,0,0,5,-20,-20,53.72307692,754.3676317,0.632368345,0.230769231,0.961538462,1.692307692,0,0,NA,Carbohydrate,Carbohydrate,Carbohydrate
659.1836391,1.857242741,High,659.1836391,24,39,18,1,0,0,1,0,CHNOP,NA,660.1909691,0.666635562,NA,C24H39O18NP,0,0,6.5,-11.5,-13.5,66.2375,658.4475888,0.55241124,-0.208333333,0.75,1.625,0.041666667,0.041666667,1,Carbohydrate,Carbohydrate,Other
649.2145267,2.568383131,Sig. High,649.2145267,27,41,15,1,0,0,1,0,CHNOP,NA,650.2218567,0.648248446,NA,C27H41O15NP,0,0,8.5,-6.5,-8.5,74.02222222,648.489608,0.51039204,-0.481481481,0.555555556,1.518518519,0.037037037,0.037037037,1,Amino Sugar,Amino Sugar,Lipid
667.3189739,2.187661968,Sig. High,667.3189739,26,55,16,1,0,0,1,0,CHNOP,NA,668.3263039,0.603877366,NA,C26H55O16NP,0,0,0.5,-15.5,-17.5,87.70384615,666.5738396,0.426160428,-0.961538462,0.615384615,2.115384615,0.038461538,0.038461538,1,Other,Amino Sugar,Other
557.152044,2.132521476,Sig. High,557.152044,20,33,15,1,0,0,1,0,CHNOP,NA,558.159374,0.965784322,NA,C20H33O15NP,0,0,5.5,-9.5,-11.5,67.425,556.5299231,0.47007695,-0.25,0.75,1.65,0.05,0.05,1,Carbohydrate,Carbohydrate,Other
629.2095875,1.594314792,High,629.2095875,24,41,16,1,0,0,1,0,CHNOP,NA,630.2169175,0.900774866,NA,C24H41O16NP,0,0,5.5,-10.5,-12.5,73.3625,628.5070065,0.492993546,-0.458333333,0.666666667,1.708333333,0.041666667,0.041666667,1,Amino Sugar,Amino Sugar,Other
643.2040525,1.652330788,High,643.2040525,28,39,14,1,0,0,1,0,CHNOP,NA,644.2113825,0.794697209,NA,C28H39O14NP,0,0.078947368,10.5,-3.5,-5.5,73.53214286,642.4858451,0.514154891,-0.464285714,0.5,1.392857143,0.035714286,0.035714286,1,Lignin,Lignin,Lipid
687.1938973,1.409376715,High,687.1938973,29,39,16,1,0,0,1,0,CHNOP,NA,688.2012273,0.76648722,NA,C29H39O16NP,0,0.078947368,11.5,-4.5,-6.5,69.14482759,686.4265705,0.573429545,-0.310344828,0.551724138,1.344827586,0.034482759,0.034482759,1,Lignin;Amino Sugar,Lignin,Lipid
