OTU,New_ID
Bog.None.R3.T0.JGI.BFC.metaspades_bin.148_73.61_7.22,micro1537
20130700_C2X_13,micro1536
20110800_E2D_15,micro1535
PLNE01,micro1534
20120500_P26_8,micro1533
20120700_P3D_89,micro1532
20111000_P1M_1,micro1531
20120700_P3D_66,micro1530
PLZA01,micro1529
PMOL01,micro1528
PKWB01,micro1527
20120500_P23_1,micro1526
20120500_P15_4,micro1525
PNBE01,micro1524
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.128_97.22_0.00,micro1523
3300037090_15,micro1522
PLZJ01,micro1521
20140700_E15_15,micro1520
20120800_E2X_3,micro1519
3300037076_25,micro1518
20170700_E11_1,micro1517
20110600_P1D_7,micro1516
3300028776_13,micro1515
PLYP01,micro1514
3300037222_12,micro1513
PKXF01,micro1512
3300037076_30,micro1511
3300037134_11,micro1510
PLTT01,micro1509
3300038461_13,micro1508
3300037132_15,micro1507
20120600_E1D_5,micro1506
PMJF01,micro1505
20111000_P3M_12,micro1504
20150700_E15_13,micro1503
PLSR01,micro1502
PLXZ01,micro1501
Bog.None.R1.T0.trimmomatic.megahit_bin.25_70.90_0.94,micro1500
Fen.Labelled.R1.T3.F2.trimmomatic.megahit_bin.7_75.84_0.00,micro1499
3300037155_22,micro1498
Bog.None.R2.T0.trimmomatic.megahit_bin.251_70.02_6.28,micro1497
20120700_P3D_8,micro1496
20120800_E1X_21,micro1495
20110800_E3D_4,micro1494
20130700_C1Y_7,micro1493
3300036913_19,micro1492
Bog.Labelled.R1.T2.F1.JGI.BFC.metaspades_bin.57_80.23_1.26,micro1491
20120700_S3D_8,micro1490
20120800_E3X_29,micro1489
3300037226_12,micro1488
PMIU01,micro1487
PMDZ01,micro1486
PLYL01,micro1485
Fen.Labelled.R1.T3.F1.trimmomatic.metaspades_bin.46_84.21_3.03,micro1484
PLYC01,micro1483
20120700_P3D_123,micro1482
3300037129_8,micro1481
PMDG01,micro1480
PMDX01,micro1479
20120600_E2D_16,micro1478
PMCC01,micro1477
20120500_P28_14,micro1476
20170700_S33_33,micro1475
20120600_E2D_24,micro1474
20120600_E3D_41,micro1473
20120600_E1D_9,micro1472
PMKK01,micro1471
20130700_C1D_14,micro1470
20110800_E2D_31,micro1469
Bog.None.R3.T0.trimmomatic.megahit_bin.55_94.74_3.88,micro1468
PLTW01,micro1467
20120600_E2D_38,micro1466
20120600_E3D_49,micro1465
20120500_P19_12,micro1464
20120600_E3D_20,micro1463
20110800_E2D_6,micro1462
20120600_E3D_25,micro1461
20110800_P1M_14,micro1460
20111000_P3D_3,micro1459
20120700_P3D_39,micro1458
20120600_P2M_7,micro1457
20111000_P1D_7,micro1456
20140700_S33_2,micro1455
3300037200_7,micro1454
20110600_P3S_11,micro1453
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.158_96.58_0.85,micro1452
Palsa.Labelled.R3.T1.F3.trimmomatic.megahit_bin.10_90.51_2.85,micro1451
20110600_P2S_1,micro1450
20111000_S1D_3,micro1449
3300037239_6,micro1448
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.311_71.88_3.42,micro1447
20110800_E2D_33,micro1446
20120700_P3D_51,micro1445
Palsa.Labelled.R3.T1.F3.JGI.BFC.metaspades_bin.45_83.28_6.50,micro1444
20120700_P3D_5,micro1443
20110800_P1M_16,micro1442
20120700_P3D_57,micro1441
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.266_95.09_2.14,micro1440
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.239_74.60_5.56,micro1439
20120700_P3D_130,micro1438
20120700_P3D_84,micro1437
20150700_P14_7,micro1436
20120600_E2D_21,micro1435
20150700_P15_3,micro1434
20120700_P3D_116,micro1433
20110800_S3D_3,micro1432
Palsa.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.23_95.38_0.50,micro1431
20140700_S31_9,micro1430
20110600_P3S_5,micro1429
20120500_P23_6,micro1428
20120700_P3D_68,micro1427
Palsa.Labelled.R3.T1.F3.JGI.BFC.metaspades_bin.75_85.15_2.19,micro1426
3300037110_7,micro1425
Palsa.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.329_90.03_5.09,micro1424
20170700_S33_37,micro1423
20110800_S3S_35,micro1422
Palsa.Labelled.R1.T1.F3.trimmomatic.metaspades_bin.56_91.47_0.17,micro1421
20120700_P3D_38,micro1420
Palsa.Labelled.R1.T1.F3.trimmomatic.metaspades_bin.65_73.50_0.43,micro1419
Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.15_88.82_6.04,micro1418
20110600_P3S_13,micro1417
Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.264_97.44_0.71,micro1416
20110600_P3S_9,micro1415
20120600_P3M_4,micro1414
20120700_P3D_32,micro1413
20100900_E1D_13,micro1412
20110800_E3D_5,micro1411
20120500_P19_4,micro1410
20110800_E1D_2,micro1409
20100900_E3D_12,micro1408
20130700_C1D_16,micro1407
20120500_P19_1,micro1406
20111000_P2D_12,micro1405
20110600_P1D_4,micro1404
20110800_P1M_5,micro1403
20111000_P1D_14,micro1402
20120700_P3D_110,micro1401
20110800_P2D_12,micro1400
20120500_P13_10,micro1399
20120700_P3D_55,micro1398
20110800_P2D_17,micro1397
20111000_P3M_4,micro1396
PLXJ01,micro1395
20111000_P3M_16,micro1394
Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.234_85.78_3.99,micro1393
20120500_P39_7,micro1392
20170700_S25_36,micro1391
Palsa.Labelled.R1.T1.F3.JGI.BFC.metaspades_bin.27_84.23_6.23,micro1390
20111000_S1D_14,micro1389
20110800_S1S_3,micro1388
Bog.Unlabelled.R1.T2.F3.JGI.BFC.metaspades_bin.31_85.09_2.29,micro1387
20120700_S1D_43,micro1386
Fen.Labelled.R1.T1.F4.trimmomatic.metaspades_bin.45_92.53_1.84,micro1385
Fen.Unlabelled.R3.T3.F4.trimmomatic.metaspades_bin.10_87.51_4.28,micro1384
PMSU01,micro1383
20110700_P1S_10,micro1382
20160700_P15_16,micro1381
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.15_76.90_1.72,micro1380
3300037394_5,micro1379
20110700_P1S_11,micro1378
20160700_S34_5,micro1377
20111000_P1S_5,micro1376
20130700_C2M_2,micro1375
20110700_S3M_18,micro1374
20110800_P3S_8,micro1373
20110700_P1M_3,micro1372
20170700_S33_22,micro1371
20130700_S3M_11,micro1370
PMOU01,micro1369
Palsa.Labelled.R3.T1.F3.JGI.BFC.metaspades_bin.68_75.40_6.88,micro1368
20120600_P2M_9,micro1367
PMST01,micro1366
20120700_P3D_23,micro1365
20111000_P3M_45,micro1364
Fen.Unlabelled.R4.T3.F4.trimmomatic.megahit_bin.1_91.07_1.12,micro1363
20120600_E1D_25,micro1362
Fen.Unlabelled.R1.T1.F4.trimmomatic.metaspades_bin.21_75.31_0.26,micro1361
PMBM01,micro1360
PMLO01,micro1359
Bog.Unlabelled.R2.T3.F3.trimmomatic.metaspades_bin.103_98.32_1.01,micro1358
Fen.Unlabelled.R2.T3.F4.JGI.BFC.metaspades_bin.7_85.11_2.41,micro1357
Fen.Unlabelled.R3.T3.F3.JGI.BFC.metaspades_bin.1_80.98_2.08,micro1356
20120600_E3D_33,micro1355
PKWT01,micro1354
20111000_P1D_6,micro1353
20120600_E2D_33,micro1352
20120700_E2X_1,micro1351
20110800_P1D_21,micro1350
20120500_P38_1,micro1349
20120700_P3D_135,micro1348
20111000_P3M_35,micro1347
Fen.Unlabelled.R1.T3.F4.trimmomatic.megahit_bin.27_72.03_1.57,micro1346
20110800_P1D_3,micro1345
20120700_P3D_72,micro1344
20110600_P1M_23,micro1343
PLJD01,micro1342
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.50_91.45_2.99,micro1341
20120600_P3S_2,micro1340
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.147_84.14_8.29,micro1339
20160700_P15_13,micro1338
Palsa.Labelled.R3.T1.F2.trimmomatic.metaspades_bin.5_93.42_1.45,micro1337
20110800_P2D_8,micro1336
PMOO01,micro1335
20120600_E1D_41,micro1334
20120700_S1D_115,micro1333
PMWT01,micro1332
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.65_88.41_5.13,micro1331
20111000_P3M_19,micro1330
20111000_P3M_46,micro1329
20130700_S1Z_14,micro1328
20120700_S3X_18,micro1327
20170700_P34_4,micro1326
20120600_E2D_28,micro1325
20120700_P3D_97,micro1324
20150700_P24_5,micro1323
20160700_S13_16,micro1322
20120700_S1X_2,micro1321
20110800_S1D_5,micro1320
20140700_E14_11,micro1319
20110800_E3D_9,micro1318
20130700_P1Y_3,micro1317
20120500_P32_5,micro1316
20120700_P3D_115,micro1315
20120500_P23_4,micro1314
20160700_S23_14,micro1313
20110800_S1M_17,micro1312
20170700_S34_26,micro1311
20120700_S1D_66,micro1310
20110800_S1M_32,micro1309
20110800_S1S_1,micro1308
3300037353_11,micro1307
20120600_S2M_9,micro1306
Bog.Unlabelled.R3.T3.F3.JGI.BFC.metaspades_bin.142_81.20_4.70,micro1305
PLRX01,micro1304
Bog.Unlabelled.R3.T2.F3.trimmomatic.metaspades_bin.165_74.19_4.27,micro1303
20110700_P2D_29,micro1302
3300037549_16,micro1301
Bog.None.R2.T0.trimmomatic.megahit_bin.247_70.69_0.00,micro1300
20110800_P1D_20,micro1299
20120700_P3D_125,micro1298
20111000_P2D_11,micro1297
Bog.Unlabelled.R3.T2.F3.trimmomatic.metaspades_bin.5_81.58_0.43,micro1296
20170700_S33_13,micro1295
20110700_P2D_26,micro1294
Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.53_92.50_2.78,micro1293
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.247_71.06_5.63,micro1292
20110800_P1D_31,micro1291
PKYA01,micro1290
PMLV01,micro1289
Palsa.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.239_79.17_2.28,micro1288
20110800_S1S_9,micro1287
20170700_S34_32,micro1286
20110700_P2D_37,micro1285
20110700_P2M_8,micro1284
3300037316_8,micro1283
20110600_P1M_24,micro1282
20120600_S3D_1,micro1281
PLWZ01,micro1280
20110600_P1M_4,micro1279
20111000_P2M_3,micro1278
20120500_P23_5,micro1277
PMON01,micro1276
20111000_P3M_7,micro1275
20130700_S2S_8,micro1274
20120700_S1S_3,micro1273
20110800_S1S_6,micro1272
20120700_S3X_22,micro1271
20150700_P13_8,micro1270
PKXJ01,micro1269
PLNQ01,micro1268
20110600_P1M_25,micro1267
20120500_P32_7,micro1266
20120700_P3D_136,micro1265
20111000_P3M_11,micro1264
20120700_S1D_96,micro1263
20120700_P3D_9,micro1262
PMTF01,micro1261
20110800_P1D_22,micro1260
20120500_P17_2,micro1259
20140700_S31_6,micro1258
20120600_S3D_7,micro1257
20120500_P27_1,micro1256
20140700_S15_2,micro1255
20150700_P14_12,micro1254
20130700_S3M_8,micro1253
20130700_S3Z_17,micro1252
20140700_S21_3,micro1251
20111000_P2D_13,micro1250
3300037159_8,micro1249
20120700_P3D_25,micro1248
20120700_P3D_141,micro1247
PKYK01,micro1246
20120700_S1S_11,micro1245
20160700_E21_3,micro1244
20140700_S11_5,micro1243
20170700_E11_3,micro1242
20120600_S1S_4,micro1241
20120500_P28_2,micro1240
20170700_S34_13,micro1239
20120600_S2D_17,micro1238
20120600_E1D_42,micro1237
20120500_P27_3,micro1236
Bog.Unlabelled.R1.T2.F3.trimmomatic.metaspades_bin.68_86.32_3.16,micro1235
20110700_P2D_30,micro1234
PLEI01,micro1233
PLZB01,micro1232
20120500_P32_4,micro1231
20110600_P1M_22,micro1230
3300037155_10,micro1229
20170700_S34_2,micro1228
20110600_P1M_20,micro1227
PMCN01,micro1226
3300036886_17,micro1225
PLBN01,micro1224
20120700_P3D_22,micro1223
20120500_P33_4,micro1222
20140700_S11_7,micro1221
20110700_P2S_6,micro1220
20150700_P21_5,micro1219
