,June_S_1_S_12_so_R1,June_S_1_M_12_so_R1,June_S_1_D_12_so_R1,June_S_2_S_12_so_R1,June_S_2_M_12_so_R1,June_S_2_D_12_so_R1,June_S_3_S_12_so_R1,June_S_3_M_12_so_R1,June_S_3_D_12_so_R1,July_S_1_S_12_so_R1,July_S_1_M_12_so_R1,July_S_1_D_12_so_R1,July_S_2_S_12_so_R1,July_S_2_M_12_so_R1,July_S_2_D_12_so_R1,July_S_3_S_12_so_R1,Aug_S_1_S_12_so_R1,Aug_S_1_M_12_so_R1,Aug_S_1_D_12_so_R1,Aug_S_2_M_12_so_R1,Aug_S_2_D_12_so_R1,Aug_S_3_S_12_so_R1
20120600_E2D_28,-0.547784419419102,-0.547784419419102,-0.547784419419102,-0.547784419419102,-0.547784419419102,-0.547784419419102,NA,-0.547784419419102,NA,NA,-0.547784419419102,-0.547784419419102,NA,-0.547784419419102,-0.547784419419102,NA,NA,-0.547784419419102,-0.547784419419102,NA,NA,NA
20150700_P24_5,NA,NA,-0.58907823596593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160700_S13_16,-0.518703699136046,-0.518703699136046,NA,-0.518703699136046,-0.518703699136046,NA,NA,-0.518703699136046,-0.518703699136046,-0.518703699136046,-0.518703699136046,-0.518703699136046,NA,-0.518703699136046,NA,NA,-0.518703699136046,-0.518703699136046,NA,-0.518703699136046,-0.518703699136046,NA
20120700_S1X_2,NA,NA,-0.621335190771648,NA,NA,-0.621335190771648,NA,NA,NA,NA,NA,-0.621335190771648,NA,NA,-0.621335190771648,NA,-0.621335190771648,-0.621335190771648,-0.621335190771648,NA,NA,NA
20110800_S1D_5,NA,NA,-0.716715001524287,NA,NA,-0.716715001524287,NA,NA,NA,NA,NA,-0.716715001524287,NA,NA,-0.716715001524287,NA,-0.716715001524287,-0.716715001524287,-0.716715001524287,NA,NA,NA
20140700_E14_11,-11.3408726471877,-11.5837391787171,-11.5640776935589,-11.1880548908003,-11.7114565618785,-12.1003865250298,-11.5271621098242,-11.241693613158,-11.3214068784517,-11.2222797608793,-11.9204871192994,-11.5382013404208,-11.6319731918198,-11.617545569259,-11.6814989244213,-11.5491687092539,-11.1796238760783,-11.185157125512,-11.9715465873721,-11.6049151716112,-11.3088991661781,-11.6657524138652
20110800_E3D_9,NA,NA,-0.750677438570777,NA,NA,-0.750677438570776,NA,NA,NA,NA,NA,-0.750677438570776,NA,NA,-0.750677438570776,NA,-0.750677438570777,-0.750677438570776,-0.750677438570776,NA,NA,NA
20160700_S23_14,NA,NA,NA,NA,NA,NA,NA,0.200823675586096,NA,NA,NA,NA,NA,NA,0.200823675586096,NA,NA,NA,NA,NA,NA,NA
20110800_S1M_17,NA,NA,-0.513169585773764,NA,-0.513169585773764,-0.513169585773764,NA,-0.513169585773764,-0.513169585773764,NA,NA,-0.513169585773765,NA,NA,-0.513169585773764,NA,-0.513169585773764,-0.513169585773764,-0.513169585773764,NA,NA,NA
20170700_S34_26,NA,NA,-0.508426702794843,NA,NA,NA,NA,NA,NA,NA,NA,-0.508426702794843,NA,NA,-0.508426702794843,NA,NA,NA,-0.508426702794843,NA,NA,NA
20120700_S1D_66,NA,NA,NA,NA,-0.491561309505428,-0.491561309505428,NA,-0.491561309505428,-0.491561309505428,NA,NA,-0.491561309505428,NA,NA,NA,NA,NA,-0.491561309505428,-0.491561309505428,NA,NA,NA
20110800_S1M_32,NA,NA,-0.5970245015947,NA,NA,-0.597024501594699,NA,NA,NA,NA,NA,-0.597024501594699,NA,NA,-0.5970245015947,NA,NA,NA,NA,NA,NA,NA
20110800_S1S_1,-0.494915211124395,-0.494915211124395,NA,-0.494915211124395,-0.494915211124395,NA,-0.494915211124395,NA,NA,-0.494915211124395,-0.494915211124395,-0.494915211124395,-0.494915211124395,-0.494915211124395,-0.494915211124395,-0.494915211124395,-0.494915211124395,-0.494915211124395,NA,NA,NA,-0.494915211124395
20120600_S2M_9,-0.696222591795774,-0.696222591795774,NA,-0.696222591795774,-0.696222591795774,-0.696222591795774,-0.696222591795774,-0.696222591795774,-0.696222591795774,-0.696222591795774,-0.696222591795774,-0.696222591795774,-0.696222591795774,-0.696222591795774,-0.696222591795774,-0.696222591795774,-0.696222591795774,-0.696222591795774,-0.696222591795774,NA,-0.696222591795774,-0.696222591795774
PLRX01,NA,NA,-0.74937393020821,-0.74937393020821,-0.74937393020821,-0.74937393020821,NA,-0.74937393020821,-0.74937393020821,-0.74937393020821,NA,-0.74937393020821,NA,NA,-0.74937393020821,NA,-0.74937393020821,-0.74937393020821,-0.74937393020821,-0.74937393020821,-0.74937393020821,NA
3300037549_16,-0.56495621314561,-0.56495621314561,NA,-0.56495621314561,NA,NA,-0.56495621314561,NA,NA,-0.56495621314561,-0.56495621314561,-0.56495621314561,-0.56495621314561,-0.56495621314561,NA,-0.56495621314561,-0.56495621314561,NA,NA,NA,-0.56495621314561,NA
20170700_S33_13,-0.471479668227783,-0.471479668227783,-0.471479668227783,-0.471479668227783,-0.471479668227783,-0.471479668227783,NA,-0.471479668227783,-0.471479668227783,NA,NA,-0.471479668227783,-0.471479668227783,-0.471479668227783,-0.471479668227783,NA,NA,-0.471479668227783,-0.471479668227783,NA,NA,NA
20110700_P2D_26,-0.409622440478029,NA,NA,-0.409622440478029,NA,NA,-0.409622440478029,-0.409622440478029,-0.409622440478029,-0.409622440478029,NA,-0.409622440478029,-0.409622440478029,-0.409622440478029,NA,-0.409622440478029,-0.409622440478029,NA,NA,NA,NA,-0.409622440478029
PMLV01,NA,NA,NA,NA,NA,NA,-0.441751017032692,NA,NA,NA,NA,NA,NA,NA,NA,-0.441751017032692,NA,NA,NA,NA,NA,-0.441751017032692
20110800_S1S_9,-0.347589401127395,NA,NA,-0.347589401127395,NA,NA,NA,NA,NA,-0.347589401127395,-0.347589401127395,-0.347589401127395,-0.347589401127395,-0.347589401127395,NA,-0.347589401127395,-0.347589401127395,NA,NA,NA,NA,NA
20170700_S34_32,-0.244585569909191,-0.244585569909191,NA,-0.244585569909191,NA,NA,-0.244585569909191,NA,NA,-0.244585569909191,NA,-0.244585569909191,-0.244585569909191,-0.244585569909191,-0.244585569909191,-0.244585569909191,-0.244585569909191,NA,NA,NA,NA,-0.244585569909191
20120600_S3D_1,-11.7890224698308,-11.8730804577022,-11.8375948438755,-11.3111731694003,-11.5143646528831,-11.3796891206915,-11.5427041186219,-12.0934724479577,-11.6408536357501,-12.1069839708469,-11.6810805154647,-11.9034796206107,-12.0447938078782,-11.6963611023362,-11.4687265614008,-11.5583043980169,-11.5553524168525,-12.1649642464318,-11.440673274465,-11.8276418110691,-11.6958645934876,-11.7805344262447
20130700_S2S_8,-0.00317250116739106,-0.00317250116739113,NA,-0.00317250116739096,-0.00317250116739125,-0.00317250116739128,-0.00317250116739106,NA,NA,-0.00317250116739105,-0.00317250116739115,-0.00317250116739111,-0.00317250116739124,-0.00317250116739111,-0.00317250116739112,-0.00317250116739111,-0.00317250116739107,-0.00317250116739103,-0.00317250116739121,NA,-0.00317250116739121,-0.00317250116739111
20120700_S1S_3,-0.343122839516422,-0.343122839516422,NA,-0.343122839516422,-0.343122839516422,-0.343122839516422,-0.343122839516422,NA,NA,-0.343122839516422,-0.343122839516422,-0.343122839516422,-0.343122839516422,-0.343122839516422,-0.343122839516422,-0.343122839516422,-0.343122839516422,-0.343122839516422,NA,NA,NA,-0.343122839516422
