Member,Value,Direction,Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,AI,AI_Mod,DBE,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class
811.2742138,2.37449145,Sig. High,811.2742138,52,44,7,0,0,1,0,0,CHOS,NA,812.2815438,0.882010289,NA,C52H44O7S,0.522727273,0.557894737,31,24,23,75.64615385,810.3683378,0.631662235,-0.538461538,0.134615385,0.846153846,0,0,NA,Unsat Hydrocarbon,Lignin,Other
809.258368,5.49729934,Sig. High,809.258368,52,42,7,0,0,1,0,0,CHOS,NA,810.265698,0.642676823,NA,C52H42O7S,0.545454545,0.578947368,32,25,24,74.55,808.3547429,0.645257123,-0.5,0.134615385,0.807692308,0,0,NA,Unsat Hydrocarbon;Cond Hydrocarbon,Lignin,Other
795.2428323,2.619762054,Sig. High,795.2428323,51,40,7,0,0,1,0,0,CHOS,NA,796.2501623,0.797604538,NA,C51H40O7S,0.558139535,0.591397849,32,25,24,73.71176471,794.354857,0.645142951,-0.470588235,0.137254902,0.784313725,0,0,NA,Unsat Hydrocarbon;Cond Hydrocarbon,Cond Hydrocarbon,Other
813.2535427,3.62302012,Sig. High,813.2535427,51,42,8,0,0,1,0,0,CHOS,NA,814.2608727,0.9589244,NA,C51H42O8S,0.523809524,0.565217391,31,23,22,73.71176471,812.3454565,0.654543471,-0.470588235,0.156862745,0.823529412,0,0,NA,Other,Lignin,Other
675.2724953,3.166022576,Sig. High,675.2724953,49,40,1,0,0,1,0,0,CHOS,NA,676.2798253,-0.316609498,NA,C49H40OS,0.595744681,0.6,30,29,28,81.23877551,674.51848,0.481520001,-0.734693878,0.020408163,0.816326531,0,0,NA,Other,Unsat Hydrocarbon,Other
645.26181,3.554711299,Sig. High,645.26181,48,38,0,0,0,1,0,0,CHS,NA,646.26914,-0.517994491,NA,C48H38S,0.617021277,0.617021277,30,30,29,81.675,644.5413049,0.458695102,-0.75,0,0.791666667,0,0,NA,Other,Cond Hydrocarbon,Other
703.1949281,3.492962222,Sig. High,703.1949281,48,32,4,0,0,1,0,0,CHOS,NA,704.2022581,0.106510921,NA,C48H32O4S,0.651162791,0.666666667,33,29,28,73.3625,702.4097344,0.590265639,-0.458333333,0.083333333,0.666666667,0,0,NA,Other,Cond Hydrocarbon,Other
755.247254,1.650862616,High,755.247254,49,40,6,0,0,1,0,0,CHOS,NA,756.254584,-0.037765062,NA,C49H40O6S,0.547619048,0.577777778,30,24,23,75.42244898,754.4039382,0.596061831,-0.530612245,0.12244898,0.816326531,0,0,NA,Unsat Hydrocarbon,Unsat Hydrocarbon,Other
707.1897462,1.350883992,High,707.1897462,47,32,5,0,0,1,0,0,CHOS,NA,708.1970762,-0.030380434,NA,C47H32O5S,0.634146341,0.655172414,32,27,26,72.42765957,706.4000918,0.599908188,-0.425531915,0.106382979,0.680851064,0,0,NA,Other,Cond Hydrocarbon,Other
695.2261402,4.14528018,Sig. High,695.2261402,47,36,4,0,0,1,0,0,CHOS,NA,696.2334702,-0.050917255,NA,C47H36O4S,0.595238095,0.613636364,30,26,25,76.06595745,694.4498445,0.550155519,-0.553191489,0.085106383,0.765957447,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
