Microbe,cluster,rho,pvalue,p_adj
20120600_E1D_32,Cluster3,-9.143961949493188e-4,0.9966166172375734,0.9983303214769482
PLLE01,Cluster1,-0.0069732101856160664,0.9742023409245038,0.9888618870014706
PLLE01,Cluster2,0.5071903128474964,0.011417305789152898,0.07282897870992418
PLLE01,Cluster3,-0.017395086299452356,0.9357006452513832,0.9719789123966913
20110800_E3D_28,Cluster1,0.1479215795185914,0.49032682196056565,0.6983941546382163
20110800_E3D_28,Cluster2,0.023189741179380885,0.9143483421526348,0.9610937602002921
20110800_E3D_28,Cluster3,-0.3563352752328711,0.08743042134231827,0.25551494314786505
20110800_E3D_40,Cluster1,0.12131193397224349,0.5722976842388952,0.7584279991705183
20110800_E3D_40,Cluster2,0.09879251633513061,0.6460387908021907,0.8083230651475757
20110800_E3D_40,Cluster3,-0.36534464665906874,0.07916744839466983,0.24059510339008
20110800_E1D_1,Cluster1,0.17781685973320968,0.405819734956095,0.6310269319846308
20110800_E1D_1,Cluster2,0.6200445147611575,0.0012295460637383737,0.016704867210790317
20110800_E1D_1,Cluster3,-0.42574473717909644,0.038055391880726486,0.15386332893179172
PMBR01,Cluster1,0.04753601975107699,0.825426959379937,0.9158444182637393
PMBR01,Cluster2,-0.18835851608776125,0.37808430409704386,0.6059518159469972
PMBR01,Cluster3,0.381201188758856,0.06607617600822113,0.21669214438843504
Fen.Labelled.R3.T2.F4.JGI.BFC.metaspades_bin.9_70.09_1.38,Cluster1,-0.03951760947588808,0.8545373353057968,0.9315996270491678
Fen.Labelled.R3.T2.F4.JGI.BFC.metaspades_bin.9_70.09_1.38,Cluster2,-0.002414437911215615,0.991066419909145,0.9964469602026194
Fen.Labelled.R3.T2.F4.JGI.BFC.metaspades_bin.9_70.09_1.38,Cluster3,0.16955591460449934,0.4283209625188529,0.650649096920298
20120600_E3D_45,Cluster1,0.37058735997388376,0.07463896889978106,0.23260370194982616
20120600_E3D_45,Cluster2,0.1229168391164313,0.5671877273317041,0.7553008528377146
20120600_E3D_45,Cluster3,-0.2571817102657393,0.22505146817477462,0.45012273743154557
20130700_E2M_2,Cluster1,0.1969570262677899,0.35628875821467787,0.5843111422096986
20130700_E2M_2,Cluster2,0.18854914643956308,0.3775929829627662,0.6055665500148832
20130700_E2M_2,Cluster3,-0.27256750634423277,0.19754341418783827,0.4175359266816735
20110800_E1D_6,Cluster1,0.18474989379705106,0.3874538740639626,0.6145447178191803
20110800_E1D_6,Cluster2,0.35112243464763154,0.0924976977164933,0.26494864251811506
20110800_E1D_6,Cluster3,-0.021739130434782608,0.9196887674366272,0.964187420262369
20130700_C2M_3,Cluster1,0.38288172736638226,0.06479244799001749,0.2138579566730616
20130700_C2M_3,Cluster2,-0.015364604889553912,0.9431935480601843,0.9753760050806105
20130700_C2M_3,Cluster3,-0.3614564071026149,0.08265788079225889,0.24656876492202565
PMJT01,Cluster1,0.395624579540848,0.05567099245635854,0.19446990341179124
PMJT01,Cluster2,-0.04156651720832423,0.8470798112234736,0.9272930834269095
PMJT01,Cluster3,-0.04803539249462724,0.8236209735438111,0.9147343102592658
20120600_E2D_41,Cluster1,0.27685589519650655,0.1903033585397571,0.4077687724715373
20120600_E2D_41,Cluster2,0.46278106319819295,0.022775699090106682,0.11225622839765118
20120600_E2D_41,Cluster3,-0.42614480220168854,0.03785544595686163,0.15345701429741943
20130700_C1D_19,Cluster1,0.27805675615144065,0.18830895707404083,0.405470834995032
20130700_C1D_19,Cluster2,0.5943364147113274,0.0021942021782592747,0.024970125341098735
20130700_C1D_19,Cluster3,-0.22396173610544912,0.2927763466729343,0.5241725219902639
20120600_E2D_57,Cluster1,0.09805378546391,0.6485186573290898,0.8096418260731638
20120600_E2D_57,Cluster2,0.06275904915372697,0.7707994489542163,0.8864792554398088
