Microbe,cluster,rho,pvalue,p_adj,Domain,Phylum,Class,Order,Family,Genus,Species
Bog.None.R3.T0.JGI.BFC.metaspades_bin.34_94.27_1.08,Cluster1,0.6489176300125691,0.0014599791826033215,0.0054153500251579775,d__Bacteria,p__Planctomycetota,c__UBA11346,o__UBA11346,f__UBA11346,g__BOG-1363,s__BOG-1363 sp003136555
Bog.None.R1.T0.trimmomatic.megahit_bin.118_76.60_1.35,Cluster1,0.6154024088023451,0.002982540143500634,0.009602838930094703,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__,g__,s__
Bog.None.R1.T0.trimmomatic.megahit_bin.118_76.60_1.35,Cluster3,0.5307253522631312,0.01104688987453617,0.02772179046615786,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__,g__,s__
Bog.Unlabelled.R3.T3.F3.trimmomatic.megahit_bin.151_70.18_0.00,Cluster1,0.5774746465560643,0.006119890193240218,0.017213271657575902,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__Opitutaceae,g__,s__
20120700_S1D_98,Cluster1,-0.507529616073551,0.01884442913608053,0.04312131579530292,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Palsa-1400,g__,s__
20170700_S24_4,Cluster1,-0.6027838209785357,0.003825466715853043,0.011747014311922674,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Palsa-1400,g__,s__
20170700_S24_4,Cluster3,-0.5532381922416579,0.007568032764991184,0.02050447788759771,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Palsa-1400,g__,s__
PLGF01,Cluster2,-0.6412428240057034,0.0012994496928584454,0.004952460717742159,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Palsa-1400,g__Palsa-1400,s__Palsa-1400 sp003138485
PLGF01,Cluster3,-0.5508650525430342,0.007885409417892841,0.021187798521917836,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Palsa-1400,g__Palsa-1400,s__Palsa-1400 sp003138485
20160700_S11_6,Cluster2,0.5739477040801253,0.0052202618656453925,0.01510699214924555,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__
20160700_S11_6,Cluster3,0.4891517550870948,0.020869689976783956,0.04684681481672114,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__
20110600_S1D_11,Cluster2,-0.5736095328087605,0.005253024256131056,0.0151935238606434,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__UBA11358 sp003134375
20110600_S1D_11,Cluster3,-0.5118629156663799,0.0148835563170584,0.03542126317404502,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__UBA11358 sp003134375
Bog.None.R2.T0.JGI.BFC.metaspades_bin.304_97.97_7.51,Cluster1,0.7267862729973606,1.901187181538866e-4,0.0010929933119066175,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__
Bog.None.R2.T0.JGI.BFC.metaspades_bin.304_97.97_7.51,Cluster3,0.5425590635978511,0.00908396796362787,0.023650383008425493,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__
Bog.Unlabelled.R2.T2.F1.JGI.BFC.metaspades_bin.57_88.81_1.01,Cluster1,0.6279269769517535,0.002305437800940835,0.007839472701555697,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__UBA11358 sp003139955
20140700_S21_13,Cluster1,0.6531075892103663,0.001327340565288937,0.00502754696757443,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__
20140700_S21_13,Cluster3,0.4973721603347977,0.01851291567424962,0.04249752330773996,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__
20120700_S1D_90,Cluster1,-0.559748152092714,0.00832470578189115,0.02211085158574657,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__
Bog.Unlabelled.R3.T3.F2.trimmomatic.metaspades_bin.104_97.47_4.73,Cluster3,0.526243728169813,0.011875450227387674,0.02945015528837376,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__
Bog.None.R1.T0.trimmomatic.megahit_bin.149_91.22_4.05,Cluster1,0.5311130456519174,0.013233146585301725,0.03218092783551241,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__
20140700_S22_7,Cluster1,0.5093532651926128,0.018351897865782618,0.042194268278219496,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__UBA11358 sp003133815
Bog.None.R3.T0.trimmomatic.megahit_bin.67_73.32_6.98,Cluster1,0.5917921997764626,0.00471323733108675,0.013879220687900743,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Methylacidiphilales,f__UBA1321,g__,s__
Bog.None.R3.T0.trimmomatic.megahit_bin.67_73.32_6.98,Cluster2,0.530704209302218,0.01105068455145286,0.02772179046615786,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Methylacidiphilales,f__UBA1321,g__,s__
20110800_S3D_28,Cluster2,-0.5503158990076751,0.007960394990954356,0.021349672155032633,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__BOG-224,s__BOG-224 sp003139735
20110800_S3D_28,Cluster3,-0.5206075213855816,0.012988859501965822,0.03171272348288391,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__BOG-224,s__BOG-224 sp003139735
20110800_S1D_14,Cluster2,-0.5492118486607371,0.008112931476131235,0.02165668755801721,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Bog-159,s__Bog-159 sp003166475
20110800_S3S_27,Cluster1,0.5836107407933778,0.005479695889239133,0.015726361954867346,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Bog-113,s__Bog-113 sp003136675
Bog.Unlabelled.R3.T3.F2.trimmomatic.metaspades_bin.33_99.27_3.62,Cluster1,0.6342549990063557,0.0020157473561934758,0.007019206804703445,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__BOG-234,s__
Bog.Unlabelled.R3.T3.F2.trimmomatic.metaspades_bin.33_99.27_3.62,Cluster2,0.6054811522588489,0.002825993087234968,0.009214264402934972,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__BOG-234,s__
Bog.Unlabelled.R3.T3.F2.trimmomatic.metaspades_bin.33_99.27_3.62,Cluster3,0.5763665622703243,0.004990843250979093,0.014572786625980194,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__BOG-234,s__
20140700_S21_18,Cluster1,0.5435435441523575,0.010873919012157174,0.027371212479487428,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Palsa-343,s__
20140700_S21_18,Cluster2,0.5589762250984074,0.006844020693581587,0.01888982911806103,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Palsa-343,s__
