featureid,cluster,sil_width,Value,Direction,Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,AI,AI_Mod,DBE,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class
603.0995635,2,0.6130045810963693,0.838984079,Insignificant,603.0995635,27,24,16,0,0,0,0,0,CHO,NA,604.1068935,0.670876846,NA,C27H24O16,0,0.421052632,16,0,0,51.85555556,602.4261371,0.57386286,0.296296296,0.592592593,0.888888889,0,0,NA,Lignin,Lignin,Other
425.1198714,2,0.6129612399104245,0.716968034,Insignificant,425.1198714,18,22,10,2,0,0,0,0,CHNO,NA,426.1272014,-0.697167018,NA,C18H22O10N2,0,0.181818182,9,-1,-3,53.96666667,424.6451788,0.354821246,0.222222222,0.555555556,1.222222222,0.111111111,0,NA,Lignin,Lignin,Other
359.2012797,2,0.6128385777993047,0.842455282,Insignificant,359.2012797,17,32,4,2,0,1,0,0,CHNOS,NA,360.2086097,0.77356436,NA,C17H32O4N2S,0,0,3,-1,-4,87.12352941,358.8001923,0.199807658,-0.941176471,0.235294118,1.882352941,0.117647059,0,NA,Lipid,Lipid,Other
557.1361179,2,0.6128214556641781,0.84278737,Insignificant,557.1361179,20,30,18,0,0,0,0,0,CHO,NA,558.1434479,0.322801413,NA,C20H30O18,0,0,6,-12,-12,51.75,556.5140147,0.485985266,0.3,0.9,1.5,0,0,NA,Carbohydrate,Carbohydrate,Other
427.1355808,2,0.6127495921965931,0.712799255,Insignificant,427.1355808,18,24,10,2,0,0,0,0,CHNO,NA,428.1429108,-0.555231221,NA,C18H24O10N2,0,0.090909091,8,-2,-4,57.13333333,426.6586374,0.341362605,0.111111111,0.555555556,1.333333333,0.111111111,0,NA,Lignin,Lignin,Other
391.1354319,2,0.6126354246313979,0.846152741,Insignificant,391.1354319,15,24,10,2,0,0,0,0,CHNO,NA,392.1427619,-0.986018345,NA,C15H24O10N2,0,0,5,-5,-7,56.5,390.6986866,0.301313418,0.133333333,0.666666667,1.6,0.133333333,0,NA,Amino Sugar,Amino Sugar,Other
395.1092935,2,0.6126084205124047,0.846610603,Insignificant,395.1092935,17,20,9,2,0,0,0,0,CHNO,NA,396.1166235,-0.783371408,NA,C17H20O9N2,0,0.238095238,9,0,-2,53.59411765,394.6681109,0.331889067,0.235294118,0.529411765,1.176470588,0.117647059,0,NA,Lignin,Lignin,Other
421.1613497,2,0.612459388146855,0.707576379,Insignificant,421.1613497,20,26,8,2,0,0,0,0,CHNO,NA,422.1686797,-0.686034426,NA,C20H26O8N2,0,0.214285714,9,1,-1,66,420.6910772,0.308922826,-0.2,0.4,1.3,0.1,0,NA,Lignin,Lignin,Other
557.1302817,2,0.6123967310136509,0.849989119,Insignificant,557.1302817,27,26,13,0,0,0,0,0,CHO,NA,558.1376117,0.389240249,NA,C27H26O13,0.142857143,0.414634146,15,2,2,60.3,556.5081851,0.49181495,0,0.481481481,0.962962963,0,0,NA,Lignin,Lignin,Other
501.1460446,2,0.6123575028438384,0.705886216,Insignificant,501.1460446,18,30,16,0,0,0,0,0,CHO,NA,502.1533746,-0.127219919,NA,C18H30O16,0,0,4,-12,-12,57.13333333,500.5864604,0.41353955,0.111111111,0.888888889,1.666666667,0,0,NA,Carbohydrate,Carbohydrate,Carbohydrate
513.1460979,2,0.6121029953817778,0.701969113,Insignificant,513.1460979,19,30,16,0,0,0,0,0,CHO,NA,514.1534279,-0.050225549,NA,C19H30O16,0,0,5,-11,-11,57.3,512.5731144,0.426885617,0.105263158,0.842105263,1.578947368,0,0,NA,Carbohydrate,Carbohydrate,Other
405.1511175,2,0.6118348841123871,0.698129856,Insignificant,405.1511175,16,26,10,2,0,0,0,0,CHNO,NA,406.1584475,-0.864540943,NA,C16H26O10N2,0,0,5,-5,-7,60.3,404.6987221,0.301277857,0,0.625,1.625,0.125,0,NA,Amino Sugar,Amino Sugar,Other
453.1341099,2,0.6116684730718411,0.695900078,Insignificant,453.1341099,28,22,6,0,0,0,0,0,CHO,NA,454.1414399,-0.575468043,NA,C28H22O6,0.545454545,0.6,18,12,12,70.47857143,452.6281363,0.371863695,-0.357142857,0.214285714,0.785714286,0,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other
425.1562938,2,0.6116471613986086,0.69563103,Insignificant,425.1562938,19,26,9,2,0,0,0,0,CHNO,NA,426.1636238,-0.610509787,NA,C19H26O9N2,0,0.12,8,-1,-3,63.3,424.6815605,0.318439516,-0.105263158,0.473684211,1.368421053,0.105263158,0,NA,Lignin,Lignin,Other
394.0857369,2,0.6115238947910768,0.863285351,Insignificant,394.0857369,15,24,8,0,0,1,1,0,CHOSP,NA,395.0930669,0.161005797,NA,C15H24O8SP,0,0,4.5,-3.5,-5.5,81.2,393.6456972,0.354302754,-0.733333333,0.533333333,1.6,0,0.066666667,0,Protein,Protein,Lipid
455.1669253,2,0.6113330773079786,0.866066209,Insignificant,455.1669253,20,28,10,2,0,0,0,0,CHNO,NA,456.1742553,-0.423958473,NA,C20H28O10N2,0,0.076923077,8,-2,-4,63.15,454.6586818,0.341318155,-0.1,0.5,1.4,0.1,0,NA,Lignin,Lignin,Other
403.1718833,2,0.6109978279823511,0.687922572,Insignificant,403.1718833,17,28,9,2,0,0,0,0,CHNO,NA,404.1792133,-0.793485338,NA,C17H28O9N2,0,0,5,-4,-6,67.00588235,402.721698,0.278302027,-0.235294118,0.529411765,1.647058824,0.117647059,0,NA,Protein,Protein,Other
431.1668258,2,0.6106315450506299,0.875847672,Insignificant,431.1668258,18,28,10,2,0,0,0,0,CHNO,NA,432.1741558,-0.677726921,NA,C18H28O10N2,0,0,6,-4,-6,63.46666667,430.6853811,0.31461893,-0.111111111,0.555555556,1.555555556,0.111111111,0,NA,Amino Sugar,Amino Sugar,Other
455.203272,2,0.6104455580407644,0.681771821,Insignificant,455.203272,21,32,9,2,0,0,0,0,CHNO,NA,456.210602,-0.508866949,NA,C21H32O9N2,0,0.034482759,7,-2,-4,71.15714286,454.694988,0.30501204,-0.380952381,0.428571429,1.523809524,0.095238095,0,NA,Protein,Protein,Other
593.1937777,2,0.610323423014759,0.680484598,Insignificant,593.1937777,21,38,19,0,0,0,0,0,CHO,NA,594.2011077,0.547137259,NA,C21H38O19,0,0,3,-16,-16,60.3,592.5314122,0.468587772,0,0.904761905,1.80952381,0,0,NA,Carbohydrate,Carbohydrate,Carbohydrate
383.1456336,2,0.6100890870253391,0.883126862,Insignificant,383.1456336,17,24,8,2,0,0,0,0,CHNO,NA,384.1529636,-0.926031168,NA,C17H24O8N2,0,0.090909091,7,-1,-3,63.65294118,382.7178098,0.282190237,-0.117647059,0.470588235,1.411764706,0.117647059,0,NA,Lignin,Lignin,Other
557.1150039,2,0.6099468035937441,0.884956982,Insignificant,557.1150039,23,26,16,0,0,0,0,0,CHO,NA,558.1223339,0.318911461,NA,C23H26O16,0,0.2,11,-5,-5,52.86521739,556.4929243,0.50707569,0.260869565,0.695652174,1.130434783,0,0,NA,Tannin,Tannin,Other
375.0597948,2,0.6099434153895673,0.676677728,Insignificant,375.0597948,24,12,1,2,0,1,0,0,CHNOS,NA,376.0671248,0.101762,NA,C24H12ON2S,0.8,0.804878049,20,19,16,62.675,374.6409997,0.359000318,-0.083333333,0.041666667,0.5,0.083333333,0,NA,Other,Cond Hydrocarbon,Other
513.0674178,2,0.6096971482148896,0.888031794,Insignificant,513.0674178,24,18,13,0,0,0,0,0,CHO,NA,514.0747478,-0.090248485,NA,C24H18O13,0.272727273,0.542857143,16,3,3,50.8,512.4945221,0.505477862,0.333333333,0.541666667,0.75,0,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other
607.2610886,2,0.6096231096905891,0.888906054,Insignificant,607.2610886,27,44,15,0,0,0,0,0,CHO,NA,608.2684186,0.566033714,NA,C27H44O15,0,0,6,-9,-9,75.07777778,606.5830154,0.416984557,-0.518518519,0.555555556,1.62962963,0,0,NA,Amino Sugar,Amino Sugar,Other
419.1668555,2,0.6094739723054536,0.890595873,Insignificant,419.1668555,17,28,10,2,0,0,0,0,CHNO,NA,420.1741855,-0.626229185,NA,C17H28O10N2,0,0,5,-5,-7,63.65294118,418.69881,0.301189956,-0.117647059,0.588235294,1.647058824,0.117647059,0,NA,Amino Sugar,Amino Sugar,Other
553.2290902,2,0.6083685244659126,0.661839475,Insignificant,553.2290902,40,30,1,2,0,0,0,0,CHNO,NA,554.2364202,0.997790557,NA,C40H30ON2,0.648648649,0.653333333,27,26,24,75.975,552.6113497,0.388650344,-0.55,0.025,0.75,0.05,0,NA,Other,Cond Hydrocarbon,Other
429.1512006,2,0.6081199601913858,0.905504063,Insignificant,429.1512006,18,26,10,2,0,0,0,0,CHNO,NA,430.1585306,-0.622944068,NA,C18H26O10N2,0,0,7,-3,-5,60.3,428.6720065,0.327993464,0,0.555555556,1.444444444,0.111111111,0,NA,Lignin;Amino Sugar,Lignin,Other
401.1561834,2,0.608088915412198,0.65935288,Insignificant,401.1561834,17,26,9,2,0,0,0,0,CHNO,NA,402.1635134,-0.921575576,NA,C17H26O9N2,0,0,6,-3,-5,63.65294118,400.7082488,0.291751178,-0.117647059,0.529411765,1.529411765,0.117647059,0,NA,Protein,Protein,Other
523.214459,2,0.6073323259823395,0.91398521,Insignificant,523.214459,21,36,13,2,0,0,0,0,CHNO,NA,524.221789,-0.007317514,NA,C21H36O13N2,0,0,5,-8,-10,65.72857143,522.6302331,0.369766939,-0.19047619,0.619047619,1.714285714,0.095238095,0,NA,Amino Sugar,Amino Sugar,Other
407.1456682,2,0.6070822331136745,0.916597252,Insignificant,407.1456682,19,24,8,2,0,0,0,0,CHNO,NA,408.1529982,-0.786710099,NA,C19H24O8N2,0,0.230769231,9,1,-1,63.3,406.6910457,0.30895429,-0.105263158,0.421052632,1.263157895,0.105263158,0,NA,Lignin,Lignin,Other
284.1327925,2,0.6069172430861891,0.649455945,Insignificant,284.1327925,14,23,3,1,0,1,0,0,CHNOS,NA,285.1401225,0.720204065,NA,C14H23O3NS,0,0.047619048,4,1,-1,84.72857143,283.8155273,0.184472714,-0.857142857,0.214285714,1.642857143,0.071428571,0,NA,Lipid,Lipid,Other
